127.0.0.1 - - [23/May/2021:22:05:04 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:08 +0700] "GET /nntt/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:12 +0700] "GET /nntt/trang-chu HTTP/1.1" 200 7890
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:15 +0700] "GET /nntt/template/web/manager-css/playing-music.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:15 +0700] "GET /nntt/template/web/manager-css/genre.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:15 +0700] "GET /nntt/template/web/manager-js/playing-music.js HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:15 +0700] "GET /nntt/template/web/manager-css/artist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:15 +0700] "GET /nntt/template/web/music/24h-LyLy-pop.mp3 HTTP/1.1" 206 3063808
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:16 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:24 +0700] "GET /nntt/nghe-sy HTTP/1.1" 200 7205
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:34 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:34 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:35 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:35 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:36 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:36 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:36 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:36 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2021:22:05:38 +0700] "GET /nntt/the-loai HTTP/1.1" 200 7179
