127.0.0.1 - - [13/May/2021:09:20:56 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:58 +0700] "GET /nntt/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:58 +0700] "GET /nntt/trang-chu HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:58 +0700] "GET /nntt/template/web/manager-css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:58 +0700] "GET /nntt/template/web/manager-css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:58 +0700] "GET /nntt/template/web/manager-css/artist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:58 +0700] "GET /nntt/template/web/manager-css/playing-music.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:58 +0700] "GET /nntt/template/web/manager-css/genre.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:58 +0700] "GET /nntt/template/web/manager-css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:59 +0700] "GET /nntt/template/web/img/duyenminhlo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:59 +0700] "GET /nntt/template/web/img/thangtulaloinoidoicuaem.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:59 +0700] "GET /nntt/template/web/manager-js/sticky-navbar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:59 +0700] "GET /nntt/template/web/manager-js/automaticslideshow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:59 +0700] "GET /nntt/template/web/manager-js/playing-music.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:59 +0700] "GET /nntt/template/web/img/chanai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:09:20:59 +0700] "GET /nntt/template/web/img/tuchoinhenhangthoi.jpg HTTP/1.1" 304 -
